repo_id,full_name,stars,forks,open_issues,language,combined_score,social_impact_score,need_score,kindness_score,popularity_score,url
59876,chakra-ui/chakra-ui-vue,1856,136,53,JavaScript,0.2338,0.4,0.0016,0.05,0.5046,https://github.com/chakra-ui/chakra-ui-vue
294,radix-ui/themes,8195,318,150,TypeScript,0.2336,0.3333,0.0045,0.05,0.5997,https://github.com/radix-ui/themes
2464,NixOS/nixpkgs,23520,18050,8601,Nix,0.2333,0.0,0.2604,0.05,0.7788,https://github.com/NixOS/nixpkgs
64164,Emupedia/emupedia.github.io,1240,206,0,JavaScript,0.2324,0.4,0.0,0.05,0.4994,https://github.com/Emupedia/emupedia.github.io
4732,qgis/QGIS,13282,3362,5276,C++,0.2321,0.1333,0.1597,0.05,0.6983,https://github.com/qgis/QGIS
9026,kata-containers/kata-containers,7454,1266,1510,Rust,0.232,0.2667,0.0457,0.05,0.6403,https://github.com/kata-containers/kata-containers
50220,frappe/lms,2730,1175,74,Vue,0.2314,0.3333,0.0028,0.05,0.5908,https://github.com/frappe/lms
438,github-linguist/linguist,13319,5013,167,Ruby,0.231,0.0,0.0051,0.35,0.7113,https://github.com/github-linguist/linguist
487,adenhq/hive,7914,4464,855,Python,0.2307,0.0,0.0259,0.35,0.6836,https://github.com/adenhq/hive
821,swiftlang/swift,69765,10660,7375,C++,0.2307,0.0,0.2233,0.05,0.8117,https://github.com/swiftlang/swift
632,ossu/computer-science,201470,25037,13,HTML,0.2302,0.1333,0.0004,0.05,0.888,https://github.com/ossu/computer-science
3084,pyscript/pyscript,18699,1491,10,Python,0.2301,0.2667,0.0003,0.05,0.6878,https://github.com/pyscript/pyscript
309,epicmaxco/vuestic-ui,3724,359,462,Vue,0.2296,0.3333,0.014,0.05,0.5678,https://github.com/epicmaxco/vuestic-ui
44227,medplum/medplum,2187,707,528,TypeScript,0.2292,0.3333,0.0156,0.05,0.5638,https://github.com/medplum/medplum
51033,cirosantilli/china-dictatorship,2875,287,825,HTML,0.2283,0.3333,0.0248,0.05,0.5479,https://github.com/cirosantilli/china-dictatorship
16438,OpenHealthForAll/open-health,3828,413,46,TypeScript,0.2275,0.3333,0.0014,0.05,0.5731,https://github.com/OpenHealthForAll/open-health
956,firstcontributions/first-contributions,52665,98313,51,,0.227,0.1333,0.0015,0.05,0.8705,https://github.com/firstcontributions/first-contributions
49762,hackclub/hackclub,2622,676,10,JavaScript,0.2269,0.3333,0.0003,0.05,0.5719,https://github.com/hackclub/hackclub
677,x1xhlol/system-prompts-and-models-of-ai-tools,115141,29689,83,,0.2267,0.1333,0.0025,0.05,0.8678,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools
1772,XX-net/XX-Net,33428,7596,7921,Python,0.2258,0.0,0.2398,0.05,0.767,https://github.com/XX-net/XX-Net
5195,PKU-YuanGroup/Open-Sora-Plan,12131,1065,252,Python,0.2258,0.2667,0.0076,0.05,0.6571,https://github.com/PKU-YuanGroup/Open-Sora-Plan
282,darkreader/darkreader,21765,2674,1385,TypeScript,0.2256,0.2,0.0417,0.05,0.7134,https://github.com/darkreader/darkreader
1783,adobe/brackets,33113,7529,2617,JavaScript,0.2256,0.1333,0.0792,0.05,0.7663,https://github.com/adobe/brackets
47038,OrchardCMS/Orchard,2413,1384,1833,C#,0.2246,0.2667,0.0555,0.05,0.5913,https://github.com/OrchardCMS/Orchard
62260,playbook-ui/playbook-ios,1219,62,4,Swift,0.2246,0.4,0.0001,0.05,0.4602,https://github.com/playbook-ui/playbook-ios
687,shadcn-ui/ui,106898,7916,991,TypeScript,0.2244,0.1333,0.03,0.05,0.8218,https://github.com/shadcn-ui/ui
53855,ValveSoftware/Dota2-Gameplay,1576,99,15131,,0.2244,0.0,0.458,0.05,0.487,https://github.com/ValveSoftware/Dota2-Gameplay
741,ruanyf/weekly,84249,3877,7109,,0.2239,0.0,0.2152,0.05,0.7878,https://github.com/ruanyf/weekly
657,521xueweihan/HelloGitHub,143297,11125,269,Python,0.2238,0.1333,0.0081,0.05,0.8462,https://github.com/521xueweihan/HelloGitHub
